S#No#,State Code,State Name ,District Code,District Name ,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name,Village Name Local,Village Status,Census 2001 Code,Census 2011 Code,SheetName,,,
549,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,571,2,Bagh Baqaya,,Inhabitant,149200,571,Report$,,,
550,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,531,2,Gund Panha,,Inhabitant,133900,531,Report$,,,
551,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,565,2,Babpora,,Inhabitant,148600,565,Report$,,,
552,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,562,2,Waterhail,,Inhabitant,147800,562,Report$,,,
553,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,555,2,Nambelhaar,,Inhabitant,146100,555,Report$,,,
554,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,559,2,Gund Arjun,,Inhabitant,146600,559,Report$,,,
555,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,544,2,Gund Shagoo Tiploo,,Inhabitant,136000,544,Report$,,,
556,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,548,2,Khud Rawatpora,,Inhabitant,136400,548,Report$,,,
557,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,541,2,Brass,,Inhabitant,135700,541,Report$,,,
558,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,534,2,Parraypora Sifullah,,Inhabitant,134200,534,Report$,,,
559,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,554,2,Ringzbul,,Inhabitant,137000,554,Report$,,,
560,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,535,2,Chritoo,,Inhabitant,134300,535,Report$,,,
561,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,556,2,Harnioo,,Inhabitant,146200,556,Report$,,,
562,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,558,2,Kulbugh,,Inhabitant,146400,558,Report$,,,
563,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,570,2,Bugroo,,Inhabitant,149100,570,Report$,,,
564,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,560,2,Brail,,Inhabitant,147600,560,Report$,,,
565,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,616,2,Riyar Ich,,Inhabitant,153700,616,Report$,,,
566,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,572,2,Yagbug,,Inhabitant,149300,572,Report$,,,
567,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,618,2,Kralpathri,,Inhabitant,153900,618,Report$,,,
568,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,619,2,Lani Laleb,,Inhabitant,154000,619,Report$,,,
569,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,593,2,Khudpora,,Inhabitant,151400,593,Report$,,,
570,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,615,2,Riyar Beeru,,Inhabitant,153600,615,Report$,,,
571,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,577,2,Hawoora,,Inhabitant,149800,577,Report$,,,
572,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,611,2,Kharpora,,Inhabitant,153200,611,Report$,,,
573,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,594,2,Kharipora,,Inhabitant,151500,594,Report$,,,
574,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,595,2,Dabipora,,Inhabitant,151600,595,Report$,,,
575,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,597,2,Balpora,,Inhabitant,151800,597,Report$,,,
576,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,610,2,Yarikaha,,Inhabitant,153100,610,Report$,,,
577,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,599,2,Gurwait Khurd,,Inhabitant,152000,599,Report$,,,
578,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,589,2,Kachipurn,,Inhabitant,151000,589,Report$,,,
579,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,590,2,Gutipora,,Inhabitant,151100,590,Report$,,,
580,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,588,2,Bug Chill,,Inhabitant,150900,588,Report$,,,
581,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,579,2,Kalshi Pora,,Inhabitant,150000,579,Report$,,,
582,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,580,2,Yarisathoo,,Inhabitant,150100,580,Report$,,,
583,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,585,2,Batapora,,Inhabitant,150600,585,Report$,,,
584,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,587,2,Check Sheera,,Inhabitant,150800,587,Report$,,,
585,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,614,2,Gojithaji,,Inhabitant,153500,614,Report$,,,
586,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,584,2,Sheikh Wadipora,,Inhabitant,150500,584,Report$,,,
587,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,576,2,Shuroo,,Inhabitant,149700,576,Report$,,,
588,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,564,2,Falchel,,Inhabitant,148500,564,Report$,,,
589,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,566,2,Parnewa,,Inhabitant,148700,566,Report$,,,
590,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,567,2,Kremshore,,Inhabitant,148800,567,Report$,,,
591,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,561,2,Gund i Ali Nayik,,Inhabitant,147700,561,Report$,,,
592,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,549,2,Zampora,,Inhabitant,136500,549,Report$,,,
593,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,550,2,Gutlipora,,Inhabitant,136600,550,Report$,,,
594,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,551,2,Rakahi,,Inhabitant,136700,551,Report$,,,
595,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,528,2,Check Chanumpora,,Inhabitant,133600,528,Report$,,,
596,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,545,2,Khospora,,Inhabitant,136100,545,Report$,,,
597,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,601,2,Lanoora,,Inhabitant,152200,601,Report$,,,
598,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,538,2,Nandpora,,Inhabitant,134700,538,Report$,,,
599,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,542,2,Chill,,Inhabitant,135800,542,Report$,,,
600,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,609,3,Gurwait Kalan,,Inhabitant,153000,609,Report$,,,
601,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,581,3,Takya Farooq Shah,,Inhabitant,150200,581,Report$,,,
602,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,543,3,Hardu Panzoo,,Inhabitant,135900,543,Report$,,,
603,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,563,4,Harduwail,,Inhabitant,147900,563,Report$,,,
604,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,612,4,Soznipora,,Inhabitant,153300,612,Report$,,,
605,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,606,4,Katch Razgeer,,Inhabitant,152700,606,Report$,,,
606,1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib,569,5,Driygam Pati Khasipora,,Inhabitant,149000,569,Report$,,,
607,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936559,1,Dangerpora,,Inhabitant,,0,Report$,,,
608,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936570,1,Wawoosa,,Inhabitant,,0,Report$,,,
609,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936565,1,Bathaar,,Inhabitant,,0,Report$,,,
610,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,671,1,Reshi Pora,,Inhabitant,142400,671,Report$,,,
611,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,718,1,Hayat Pora,,Inhabitant,148300,718,Report$,,,
612,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936555,1,Sharifaabad,,Inhabitant,,0,Report$,,,
613,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936557,1,Hanjibagh,,Inhabitant,,0,Report$,,,
614,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,699,1,Lal Gund,,Inhabitant,145500,699,Report$,,,
615,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,685,1,Lakhri Pora,,Inhabitant,144000,685,Report$,,,
616,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,693,1,Choon,,Inhabitant,144800,693,Report$,,,
617,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,664,1,Bata Bagh,,Inhabitant,141700,664,Report$,,,
618,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936572,1,Khudpora,,Inhabitant,,0,Report$,,,
619,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936573,1,Hardu Batpora,,Inhabitant,,0,Report$,,,
620,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936786,1,Surid,,Inhabitant,,0,Report$,,,
621,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936567,1,Galwanpora,,Inhabitant,,0,Report$,,,
622,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936569,1,Ompora,,Inhabitant,,0,Report$,,,
623,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,713,1,Jawal Pora,,Inhabitant,147400,713,Report$,,,
624,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936552,1,Budgam,,Inhabitant,,0,Report$,,,
625,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936563,1,Rangred,,Inhabitant,,0,Report$,,,
626,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936566,1,Watdoru,,Inhabitant,,0,Report$,,,
627,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936553,1,Budina,,Inhabitant,,0,Report$,,,
628,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936556,1,Hanjek,,Inhabitant,,0,Report$,,,
629,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936560,1,Humhama,,Inhabitant,,0,Report$,,,
630,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936558,1,Margi Gund,,Inhabitant,,0,Report$,,,
631,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936554,1,Bemina,,Inhabitant,,0,Report$,,,
632,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,675,1,Sheikh Pora,,Inhabitant,143000,675,Report$,,,
633,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,706,1,Karhama,,Inhabitant,146700,706,Report$,,,
634,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,690,1,Mamat,,Inhabitant,144500,690,Report$,,,
635,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,697,1,Bagh Sahib Ram,,Inhabitant,145300,697,Report$,,,
636,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,649,1,Galwan Pora,,Inhabitant,140200,649,Report$,,,
637,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,647,1,Chak Kali Khan,,Inhabitant,140000,647,Report$,,,
638,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,662,1,Labertal,,Inhabitant,141500,662,Report$,,,
639,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936788,1,Rakhi-i-Arath,,Inhabitant,,0,Report$,,,
640,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936785,1,Khanpora,,Inhabitant,,0,Report$,,,
641,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936564,1,Narkara,,Inhabitant,,0,Report$,,,
642,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,641,2,Warsangam,,Inhabitant,139400,641,Report$,,,
643,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,936568,2,Karewa Damooder,,Inhabitant,,0,Report$,,,
644,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,707,2,Handjen,,Inhabitant,146800,707,Report$,,,
645,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,704,2,Kargam Palchati,,Inhabitant,146000,704,Report$,,,
646,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,709,2,Gazergund,,Inhabitant,147000,709,Report$,,,
647,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,717,2,Tilnpora,,Inhabitant,148200,717,Report$,,,
648,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,712,2,Gojra,,Inhabitant,147300,712,Report$,,,
649,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,714,2,Udroo,,Inhabitant,147500,714,Report$,,,
650,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,715,2,Chak Gojra,,Inhabitant,148000,715,Report$,,,
651,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,686,2,Dousnar,,Inhabitant,144100,686,Report$,,,
652,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,692,2,Nadire Kah,,Inhabitant,144700,692,Report$,,,
653,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,695,2,Naroo,,Inhabitant,145100,695,Report$,,,
654,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,696,2,Gudsathoo,,Inhabitant,145200,696,Report$,,,
655,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,678,2,Zoorigund,,Inhabitant,143300,678,Report$,,,
656,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,683,2,Johama,,Inhabitant,143800,683,Report$,,,
657,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,680,2,Thokerpora,,Inhabitant,143500,680,Report$,,,
658,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,681,2,Dardpora,,Inhabitant,143600,681,Report$,,,
659,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,657,2,Surnhal,,Inhabitant,141000,657,Report$,,,
660,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,668,2,Dafpora,,Inhabitant,142100,668,Report$,,,
661,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,673,2,Sebden,,Inhabitant,142600,673,Report$,,,
662,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,660,2,Sahratpora,,Inhabitant,141300,660,Report$,,,
663,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,624,2,Soibugh,,Inhabitant,137700,624,Report$,,,
664,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,652,2,Karipora,,Inhabitant,140500,652,Report$,,,
665,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,654,2,Kakan Murn,,Inhabitant,140700,654,Report$,,,
666,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,656,2,Nendvendpora,,Inhabitant,140900,656,Report$,,,
667,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,655,2,Garend Khurd,,Inhabitant,140800,655,Report$,,,
668,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,644,2,Gundhanjek,,Inhabitant,139700,644,Report$,,,
669,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,642,2,Haripora,,Inhabitant,139500,642,Report$,,,
670,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,651,2,Takipora,,Inhabitant,140400,651,Report$,,,
671,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,634,2,Sofipora,,Inhabitant,138700,634,Report$,,,
672,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,638,2,Alowpora,,Inhabitant,139100,638,Report$,,,
673,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,639,2,Kamohpora,,Inhabitant,139200,639,Report$,,,
674,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,708,2,Bandybagh,,Inhabitant,146900,708,Report$,,,
675,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,646,2,Dooru,,Inhabitant,139900,646,Report$,,,
676,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,711,2,Zuzbugh Dalwan,,Inhabitant,147200,711,Report$,,,
677,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,716,2,Shoga Pora,,Inhabitant,148100,716,Report$,,,
678,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,719,2,Kishtwar,,Inhabitant,148400,719,Report$,,,
679,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,701,2,Munnpapy,,Inhabitant,145700,701,Report$,,,
680,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,702,2,Sonergund,,Inhabitant,145800,702,Report$,,,
681,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,705,2,Ratnipora,,Inhabitant,146500,705,Report$,,,
682,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,698,2,Lalgam,,Inhabitant,145400,698,Report$,,,
683,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,684,2,Mahawara,,Inhabitant,143900,684,Report$,,,
684,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,694,2,Zooribagh,,Inhabitant,144900,694,Report$,,,
685,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,691,2,Razwen,,Inhabitant,144600,691,Report$,,,
686,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,688,2,Hewoder,,Inhabitant,144300,688,Report$,,,
687,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,689,2,Patwaw,,Inhabitant,144400,689,Report$,,,
688,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,650,2,Warapora,,Inhabitant,140300,650,Report$,,,
689,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,670,2,Mirgund,,Inhabitant,142300,670,Report$,,,
690,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,672,2,Chowdribagh,,Inhabitant,142500,672,Report$,,,
691,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,679,2,Huroo,,Inhabitant,143400,679,Report$,,,
692,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,663,2,Putli Bagh,,Inhabitant,141600,663,Report$,,,
693,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,665,2,Dednia,,Inhabitant,141800,665,Report$,,,
694,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,667,2,Paller,,Inhabitant,142000,667,Report$,,,
695,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,666,2,Waternai,,Inhabitant,141900,666,Report$,,,
696,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,640,2,Paymus,,Inhabitant,139300,640,Report$,,,
697,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,630,2,Chak Wazir Pora,,Inhabitant,138300,630,Report$,,,
698,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,643,2,Hakermulla.,,Inhabitant,139600,643,Report$,,,
699,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,631,2,Shopribagh,,Inhabitant,138400,631,Report$,,,
700,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,637,2,Garien Kalan,,Inhabitant,139000,637,Report$,,,
701,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,632,2,Wahabpora,,Inhabitant,138500,632,Report$,,,
702,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,636,2,Shahpora,,Inhabitant,138900,636,Report$,,,
703,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,623,2,Rakheh Arath,,Inhabitant,137600,623,Report$,,,
704,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,710,2,Sondipora,,Inhabitant,147100,710,Report$,,,
705,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,720,3,Ichgam,,Inhabitant,145000,720,Report$,,,
706,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,645,3,Dandoosa,,Inhabitant,139800,645,Report$,,,
707,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,674,3,Nambal Narkara,,Inhabitant,142900,674,Report$,,,
708,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,676,3,Gogoo,,Inhabitant,143100,676,Report$,,,
709,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,659,3,Parisabad,,Inhabitant,141200,659,Report$,,,
710,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,661,3,Chandpora,,Inhabitant,141400,661,Report$,,,
711,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,648,3,HakerMulla,,Inhabitant,140100,648,Report$,,,
712,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,687,3,Sholi Pora,,Inhabitant,144200,687,Report$,,,
713,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,653,3,Nasrulapora,,Inhabitant,140600,653,Report$,,,
714,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,625,4,Dahermuna,,Inhabitant,137800,625,Report$,,,
715,1,JAMMU AND KASHMIR,2,Budgam,7,Budgam,703,5,Ichkoot,,Inhabitant,145900,703,Report$,,,
716,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,807,1,Badi Pora,,Inhabitant,163900,807,Report$,,,
717,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,936574,1,Chadoora,,Inhabitant,,0,Report$,,,
718,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,936576,1,Durbugh,,Inhabitant,,0,Report$,,,
719,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,936585,1,Hardu Chati Checkpora,,Inhabitant,,0,Report$,,,
720,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,936587,1,Kharibagh,,Inhabitant,,0,Report$,,,
721,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,793,1,Hushroo,,Inhabitant,162500,793,Report$,,,
722,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,758,1,Ganji Bagh,,Inhabitant,158400,758,Report$,,,
723,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,784,1,Wanpora Nagam,,Inhabitant,161400,784,Report$,,,
724,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,936586,1,Mudbel,,Inhabitant,,0,Report$,,,
725,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,937110,1,Hamchipora,,Inhabitant,,0,Report$,,,
726,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,759,1,Buchroo,,Inhabitant,158500,759,Report$,,,
727,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,936577,1,Chak Chadoora,,Inhabitant,,0,Report$,,,
728,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,936580,1,Bagi Rangeen,,Inhabitant,,0,Report$,,,
729,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,791,1,Wagam,,Inhabitant,162300,791,Report$,,,
730,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,803,1,Kralwari,,Inhabitant,163500,803,Report$,,,
731,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,790,1,Sogam,,Inhabitant,162200,790,Report$,,,
732,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,798,1,Ranger,,Inhabitant,163000,798,Report$,,,
733,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,936575,1,Doyen,,Inhabitant,,0,Report$,,,
734,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,936582,1,Paharipora,,Inhabitant,,0,Report$,,,
735,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,937111,1,Khandaypora,,Inhabitant,,0,Report$,,,
736,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,936584,1,Kichloo,,Inhabitant,,0,Report$,,,
737,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,936588,1,Kanir,,Inhabitant,,0,Report$,,,
738,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,936583,1,Watakloo,,Inhabitant,,0,Report$,,,
739,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,923267,2,Khairigund,,Inhabitant,,0,Report$,,,
740,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,806,2,Nowpora,,Inhabitant,163800,806,Report$,,,
741,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,815,2,Nowhar,,Inhabitant,165100,815,Report$,,,
742,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,818,2,Kanikoot,,Inhabitant,165400,818,Report$,,,
743,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,821,2,Sursyar,,Inhabitant,165700,821,Report$,,,
744,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,763,2,Kuzwera,,Inhabitant,158900,763,Report$,,,
745,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,797,2,Patrigam,,Inhabitant,162900,797,Report$,,,
746,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,783,2,Check Demjoo Gunjoo,,Inhabitant,161300,783,Report$,,,
747,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,785,2,Dharmshala Singan,,Inhabitant,161500,785,Report$,,,
748,1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora,760,2,Bugam Batapora,,Inhabitant,158600,760,Report$,,,
15709,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27169,1,Rango (35/3),,Inhabitant,1991400,27169,Report$,,,
15710,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27193,1,Bagantu Dhar (47),,Inhabitant,1993800,27193,Report$,,,
15711,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27162,1,Ralpa (34/3),,Inhabitant,1990700,27162,Report$,,,
15712,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27143,1,Nigani (31/5),,Inhabitant,1988800,27143,Report$,,,
15713,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27128,1,Karaba (30/13),,Inhabitant,1987300,27128,Report$,,,
15714,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27080,1,Nainsaring (1/5),,Inhabitant,1982500,27080,Report$,,,
15715,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27209,2,D.P.F. -128 A (74),,Un-Inhabitant,1995400,27209,Report$,,,
15716,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27206,2,D.P.F. C-86 B (71),,Un-Inhabitant,1995100,27206,Report$,,,
15717,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27188,2,DPF-Kutange 71 B (43),,Un-Inhabitant,1993300,27188,Report$,,,
15718,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27189,2,DPF-71A,,Inhabitant,1993400,27189,Report$,,,
15719,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27147,2,Rithachang Dhar (63),,Inhabitant,1989200,27147,Report$,,,
15720,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27108,2,Yangorang Dhar (20),,Un-Inhabitant,1985300,27108,Report$,,,
15721,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27102,2,Solaring,,Inhabitant,1984700,27102,Report$,,,
15722,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27133,2,Bai,,Inhabitant,1987800,27133,Report$,,,
15723,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27203,2,Jogtiyaring,,Inhabitant,1994800,27203,Report$,,,
15724,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27204,2,D.P.F. C-86 A (70),,Un-Inhabitant,1994900,27204,Report$,,,
15725,2,HIMACHAL PRADESH,19,KINNAUR,198,Nichar,27200,2,D.P.F. C-84 (68),,Un-Inhabitant,1994500,27200,Report$,,,
