S#No#,State Code,State Name ,District Code,District Name ,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name,Village Name Local,Village Status,Census 2001 Code,Census 2011 Code,SheetName,,,
45,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,923380,1,ARWANI,,Inhabitant,,0,Report$,,,
46,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3608,1,Aswara,,Inhabitant,231900,3608,Report$,,,
47,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3595,1,Shiti Pora,,Inhabitant,230600,3595,Report$,,,
48,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3611,1,Hayar,,Inhabitant,232200,3611,Report$,,,
49,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3597,1,Waghama,,Inhabitant,230800,3597,Report$,,,
50,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3602,1,Opzan,,Inhabitant,231300,3602,Report$,,,
51,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,936427,1,Bijbehara,,Inhabitant,,0,Report$,,,
52,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3619,1,Veeri,,Inhabitant,233000,3619,Report$,,,
53,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3623,1,Sangam,,Inhabitant,248400,3623,Report$,,,
54,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3627,1,Gund Nasir,,Inhabitant,248900,3627,Report$,,,
55,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,923376,2,Hassanpora Tawala,,Inhabitant,,0,Report$,,,
56,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3633,2,Hassanpora Bagh,,Inhabitant,250100,3633,Report$,,,
57,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3601,2,Indermuni,,Inhabitant,231200,3601,Report$,,,
58,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3621,2,Adder,,Inhabitant,233200,3621,Report$,,,
59,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3615,2,Gantalpora,,Inhabitant,232600,3615,Report$,,,
60,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3613,2,Takibal,,Inhabitant,232400,3613,Report$,,,
61,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3612,2,Katritang,,Inhabitant,232300,3612,Report$,,,
62,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3600,2,Kandipora,,Inhabitant,231100,3600,Report$,,,
63,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3598,2,Gund Nawrooz,,Inhabitant,230900,3598,Report$,,,
64,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3594,2,Katoo,,Inhabitant,230500,3594,Report$,,,
65,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3584,2,Marhama,,Inhabitant,229500,3584,Report$,,,
66,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3630,2,Rakh Moman Danjipora,,Inhabitant,249400,3630,Report$,,,
67,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,923379,2,Moman Danjipora,,Inhabitant,,0,Report$,,,
68,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3631,2,Trubjee,,Inhabitant,249600,3631,Report$,,,
69,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3634,2,Subhanphari,,Inhabitant,250200,3634,Report$,,,
70,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3625,2,Humzipora,,Inhabitant,248700,3625,Report$,,,
71,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3626,2,Semthan,,Inhabitant,248800,3626,Report$,,,
72,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3620,2,Guree,,Inhabitant,233100,3620,Report$,,,
73,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3614,2,Gadiser,,Inhabitant,232500,3614,Report$,,,
74,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3617,2,Krandigam,,Inhabitant,232800,3617,Report$,,,
75,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3624,2,Tulkhan,,Inhabitant,248600,3624,Report$,,,
76,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3592,2,Bewoora,,Inhabitant,230300,3592,Report$,,,
77,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3606,2,Chandipora,,Inhabitant,231700,3606,Report$,,,
78,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3607,2,Kanilwan,,Inhabitant,231800,3607,Report$,,,
79,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3610,2,Dupatyar,,Inhabitant,232100,3610,Report$,,,
80,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3605,2,Chinigund,,Inhabitant,231600,3605,Report$,,,
81,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3583,3,Sether Staiger,,Inhabitant,229400,3583,Report$,,,
82,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3632,3,Gundchahal,,Inhabitant,249700,3632,Report$,,,
83,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3628,3,Jablipora,,Inhabitant,249000,3628,Report$,,,
84,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3604,3,Banderpora,,Inhabitant,231500,3604,Report$,,,
85,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3599,3,Rakh Katritang,,Inhabitant,231000,3599,Report$,,,
86,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3629,3,Rakh Hassanpora,,Inhabitant,249100,3629,Report$,,,
87,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3622,3,Naian Gund Baba Khalil,,Inhabitant,248300,3622,Report$,,,
88,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3609,3,Mirgund,,Inhabitant,232000,3609,Report$,,,
89,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3596,3,Shalgam,,Inhabitant,230700,3596,Report$,,,
90,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3702,4,Thajiwara,,Inhabitant,242300,3702,Report$,,,
91,1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara,3828,5,Laktipora,,Inhabitant,278900,3828,Report$,,,
